Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
33.61211499999929,1056,,,,,23.776187632036933,0.18701916641592148,0,1258,4.446602791492089,,,
33.63986000000033,1056,,,,,23.77615769851385,0.1837226776460447,0,1553,4.368219356505584,,,
33.6700700000003,1056,,,,,23.775958829770296,0.18377693355115954,0,1603,4.369472805973801,,,
33.70459999999963,1056,,,,0.02378297629748319,23.776287149131353,0.1811833835295642,0,1612,4.307868153450115,0.0055208227016965965,,
33.72958999999985,1056,,,,,23.77598489033527,0.18225799524631836,0,1614,4.333363341119263,,,
33.76077499999944,1056,,,,,23.775893856606817,0.1820157030852111,0,1452,4.327586036789641,,,
33.7896799999997,1056,,,,,23.77591297484289,0.17871993968155725,0,1424,4.249229732737875,,,
33.817169999999926,1056,,,,,23.776001994710107,0.17947521307272074,0,1230,4.26720302401803,,,
33.851419999999926,1056,,,,0.023523659232159374,23.775796899893457,0.1833131337793914,0,898,4.358415837821808,0.005397295739434473,,
33.91449500000011,1056,,,,,23.775485074467976,0.17946221468949072,0,844,4.266801206780954,,,
33.95830999999959,1056,,,,,23.77583123364369,0.1808050139455333,0,1126,4.298789497765593,,,
33.987754999999886,1056,,,,,23.775617092049867,0.1835711226330897,0,1523,4.36451672088207,,,
34.01675999999978,1056,,,,0.027974022997151682,23.77559766988743,0.18310364300845536,0,1596,4.35339854805973,0.0064257895729807335,,
34.043770000000485,1056,,,,,23.77533128465577,0.18196911021807696,0,1610,4.326375879008819,,,
34.0786099999994,1056,,,,,23.775457101391886,0.18174628882643135,0,1612,4.321101093329998,,,
34.10876999999955,1056,,,,,23.775761134214612,0.18207564057068207,0,1614,4.328986938567652,,,
34.134495000000115,1056,,,,,23.77583184069919,0.18285337043054997,0,1616,4.347490986861834,,,
34.17849500000011,1056,,,,0.032276294418473385,23.776963361238273,0.1830251279548628,0,1617,4.35178176156872,0.0074167998734473535,,
34.20499000000022,1056,,,,,23.777004870955484,0.1832966396157864,0,1622,4.358245092974325,,,
34.23222499999963,1056,,,,,23.7767416322389,0.18267772454318046,0,1624,4.343481058428509,,,
34.25957500000018,1056,,,,,23.776915833807163,0.17996040846506375,0,1570,4.278903485491379,,,
34.287,1056,,,,0.036071057869283725,23.776729117054586,0.17933619669025114,0,1451,4.264028169586923,0.008459385453069861,,
34.31105999999959,1056,,,,,23.776837290489496,0.17931081307760421,0,1430,4.263444026971571,,,
34.34084999999963,1056,,,,,23.776556165998205,0.17940083634792167,0,1139,4.265534061653412,,,
34.379209999999965,1056,,,,,23.776189078703887,0.17885423771738618,0,893,4.252472173496026,,,
34.414480000000445,1056,,,,,23.776151442112543,0.18077962593001712,0,984,4.298243763760542,,,
34.447549999999815,1056,,,,0.04327767659085083,23.77636065414805,0.18220820682478708,0,1475,4.332248039611738,0.009989658070161984,,
34.47835000000056,1056,,,,,23.776662007183486,0.1819067295777091,0,1597,4.3251348260013165,,,
34.50246999999974,1056,,,,,23.776674585868584,0.17885729472794135,0,1619,4.25263169405505,,,
